pTec
148, 6944, 6536.7764, 16.336427
149, -28311, 6536.5254, 16.335800
150, -21602, 6536.2744, 16.335173
151, -14460, 6536.0235, 16.334545
152, 6210, 6535.7725, 16.333918
153, 10627, 6535.5215, 16.333291
154, 2324, 6535.2706, 16.332664
155, 776, 6535.0196, 16.332037
156, 6318, 6534.7686, 16.331409
157, 12516, 6534.5177, 16.330782
158, 8927, 6534.2667, 16.330155
159, -6301, 6534.0157, 16.329528
160, -5321, 6533.7648, 16.328901
161, -9830, 6533.5138, 16.328273
162, 13401, 6533.2628, 16.327646
163, -10141, 6533.0119, 16.327019
164, -3292, 6532.7609, 16.326392
165, -2379, 6532.5099, 16.325764
166, 8732, 6532.2590, 16.325137
167, -32174, 6532.0080, 16.324510
168, -21275, 6531.7570, 16.323883
169, -7689, 6531.5061, 16.323256
170, 10461, 6531.2551, 16.322628
171, 2106, 6531.0041, 16.322001
172, -10441, 6530.7532, 16.321374
173, 9120, 6530.5022, 16.320747
174, 19941, 6530.2512, 16.320120
175, 8049, 6530.0003, 16.319492
176, -7976, 6529.7493, 16.318865
177, 2930, 6529.4983, 16.318238
178, 20518, 6529.2473, 16.317611
179, 29865, 6528.9964, 16.316984
180, 24350, 6528.7454, 16.316356
181, -9001, 6528.4944, 16.315729
182, 4766, 6528.2435, 16.315102
183, -20065, 6527.9925, 16.314475
184, -20481, 6527.7415, 16.313848
185, -7745, 6527.4906, 16.313220
186, -6068, 6527.2396, 16.312593
187, 4294, 6526.9886, 16.311966
188, 17754, 6526.7377, 16.311339
189, 26516, 6526.4867, 16.310712
190, 2779, 6526.2357, 16.310084
191, -28698, 6525.9848, 16.309457
192, -34294, 6525.7338, 16.308830
193, -17979, 6525.4828, 16.308203
194, -12636, 6525.2319, 16.307576
195, 2961, 6524.9809, 16.306948
196, 12303, 6524.7299, 16.306321
197, 14945, 6524.4790, 16.305694
198, 4700, 6524.2280, 16.305067
199, -6046, 6523.9770, 16.304439
200, -29971, 6523.7261, 16.303812
201, -12378, 6523.4751, 16.303185
202, 2133, 6523.2241, 16.302558
203, 833, 6522.9732, 16.301931
204, 5069, 6522.7222, 16.301303
205, 5576, 6522.4712, 16.300676
206, -20256, 6522.2203, 16.300049
207, 493, 6521.9693, 16.299422
208, 10211, 6521.7183, 16.298795
209, 20145, 6521.4674, 16.298167
210, 20701, 6521.2164, 16.297540
211, 5439, 6520.9654, 16.296913
212, 15540, 6520.7145, 16.296286
213, 21692, 6520.4635, 16.295659
214, 1264, 6520.2125, 16.295031
215, -17811, 6519.9616, 16.294404
216, 1158, 6519.7106, 16.293777
217, -12221, 6519.4596, 16.293150
218, -4571, 6519.2087, 16.292523
219, -14077, 6518.9577, 16.291895
220, -23144, 6518.7067, 16.291268
221, -10026, 6518.4558, 16.290641
222, 5829, 6518.2048, 16.290014
223, -1886, 6517.9538, 16.289387
224, -23617, 6517.7029, 16.288759
225, -21643, 6517.4519, 16.288132
226, 13202, 6517.2009, 16.287505
227, -12032, 6516.9500, 16.286878
228, -53642, 6516.6990, 16.286251
229, -43018, 6516.4480, 16.285623
230, -16659, 6516.1971, 16.284996
231, 7283, 6515.9461, 16.284369
232, 11467, 6515.6951, 16.283742
233, -2970, 6515.4442, 16.283115
234, 2014, 6515.1932, 16.282487
235, 1740, 6514.9422, 16.281860
236, 8695, 6514.6913, 16.281233
237, 14917, 6514.4403, 16.280606
238, 4174, 6514.1893, 16.279978
239, 3180, 6513.9384, 16.279351
240, 7940, 6513.6874, 16.278724
241, 2381, 6513.4364, 16.278097
242, -16279, 6513.1855, 16.277470
243, -29226, 6512.9345, 16.276842
244, -8689, 6512.6835, 16.276215
245, -3595, 6512.4326, 16.275588
246, -3051, 6512.1816, 16.274961
247, -8796, 6511.9306, 16.274334
248, -23969, 6511.6797, 16.273706
249, -13201, 6511.4287, 16.273079
250, -32671, 6511.1777, 16.272452
251, -37038, 6510.9268, 16.271825
252, -11692, 6510.6758, 16.271198
253, 8908, 6510.4248, 16.270570
254, -15426, 6510.1739, 16.269943
255, -3471, 6509.9229, 16.269316
256, 14784, 6509.6719, 16.268689
257, -23176, 6509.4210, 16.268062
258, -14739, 6509.1700, 16.267434
259, -3676, 6508.9190, 16.266807
260, 8872, 6508.6681, 16.266180
261, 8130, 6508.4171, 16.265553
262, -10042, 6508.1661, 16.264926
263, -28081, 6507.9152, 16.264298
264, -13575, 6507.6642, 16.263671
265, -17942, 6507.4132, 16.263044
266, -12178, 6507.1623, 16.262417
267, -2685, 6506.9113, 16.261790
268, -12089, 6506.6603, 16.261162
269, -25794, 6506.4094, 16.260535
270, -10086, 6506.1584, 16.259908
271, -16449, 6505.9074, 16.259281
272, 3581, 6505.6565, 16.258653
273, 11782, 6505.4055, 16.258026
274, 9703, 6505.1545, 16.257399
275, 10135, 6504.9036, 16.256772
276, -9102, 6504.6526, 16.256145
277, -37575, 6504.4016, 16.255517
278, -9987, 6504.1507, 16.254890
279, 6765, 6503.8997, 16.254263
280, 8971, 6503.6487, 16.253636
281, -3668, 6503.3978, 16.253009
282, -29295, 6503.1468, 16.252381
283, -52477, 6502.8958, 16.251754
284, -43651, 6502.6449, 16.251127
285, -45243, 6502.3939, 16.250500
286, -6009, 6502.1429, 16.249873
287, 4815, 6501.8920, 16.249245
288, -24129, 6501.6410, 16.248618
289, -5470, 6501.3900, 16.247991
290, -1378, 6501.1391, 16.247364
291, -19903, 6500.8881, 16.246737
292, -21084, 6500.6371, 16.246109
293, -15138, 6500.3862, 16.245482
294, -6514, 6500.1352, 16.244855
295, 10299, 6499.8842, 16.244228
296, 19938, 6499.6333, 16.243601
297, 141, 6499.3823, 16.242973
298, -1091, 6499.1313, 16.242346
299, -18153, 6498.8804, 16.241719
300, -33249, 6498.6294, 16.241092
301, -25867, 6498.3784, 16.240465
302, -22502, 6498.1274, 16.239837
303, -11641, 6497.8765, 16.239210
304, 20663, 6497.6255, 16.238583
305, 53143, 6497.3745, 16.237956
306, 32853, 6497.1236, 16.237328
307, 27064, 6496.8726, 16.236701
308, 5470, 6496.6216, 16.236074
309, 14777, 6496.3707, 16.235447
310, -18677, 6496.1197, 16.234820
311, -12931, 6495.8687, 16.234192
312, -11946, 6495.6178, 16.233565
313, -14030, 6495.3668, 16.232938
314, -2609, 6495.1158, 16.232311
315, -29759, 6494.8649, 16.231684
316, -32537, 6494.6139, 16.231056
317, -5481, 6494.3629, 16.230429
318, 154, 6494.1120, 16.229802
319, -4041, 6493.8610, 16.229175
320, -11746, 6493.6100, 16.228548
321, -12184, 6493.3591, 16.227920
322, -41089, 6493.1081, 16.227293
323, -10504, 6492.8571, 16.226666
324, -31332, 6492.6062, 16.226039
325, -11764, 6492.3552, 16.225412
326, -3119, 6492.1042, 16.224784
327, -10162, 6491.8533, 16.224157
328, -25428, 6491.6023, 16.223530
329, 13386, 6491.3513, 16.222903
330, 9784, 6491.1004, 16.222276
331, 12054, 6490.8494, 16.221648
332, 21024, 6490.5984, 16.221021
333, -23200, 6490.3475, 16.220394
334, -25771, 6490.0965, 16.219767
335, -28226, 6489.8455, 16.219140
336, -18671, 6489.5946, 16.218512
337, -705, 6489.3436, 16.217885
338, -2286, 6489.0926, 16.217258
339, -784, 6488.8417, 16.216631
340, -12268, 6488.5907, 16.216004
341, -5774, 6488.3397, 16.215376
342, 10718, 6488.0888, 16.214749
343, 13053, 6487.8378, 16.214122
344, -5373, 6487.5868, 16.213495
345, -14929, 6487.3359, 16.212867
346, 2673, 6487.0849, 16.212240
347, 3504, 6486.8339, 16.211613
348, 20734, 6486.5830, 16.210986
349, 3762, 6486.3320, 16.210359
350, -1288, 6486.0810, 16.209731
351, 4115, 6485.8301, 16.209104
352, 4447, 6485.5791, 16.208477
353, 22451, 6485.3281, 16.207850
354, -8370, 6485.0772, 16.207223
355, 1063, 6484.8262, 16.206595
356, 5676, 6484.5752, 16.205968
357, -10321, 6484.3243, 16.205341
358, 5017, 6484.0733, 16.204714
359, 16645, 6483.8223, 16.204087
360, 10369, 6483.5714, 16.203459
361, 8495, 6483.3204, 16.202832
362, -17894, 6483.0694, 16.202205
363, -11646, 6482.8185, 16.201578
364, 10079, 6482.5675, 16.200951
365, 2223, 6482.3165, 16.200323
366, -12203, 6482.0656, 16.199696
367, -15098, 6481.8146, 16.199069
368, -12890, 6481.5636, 16.198442
369, -8133, 6481.3127, 16.197815
370, 600, 6481.0617, 16.197187
371, -2477, 6480.8107, 16.196560
372, -2005, 6480.5598, 16.195933
373, -89, 6480.3088, 16.195306
374, -19713, 6480.0578, 16.194679
375, -25684, 6479.8069, 16.194051
376, -22914, 6479.5559, 16.193424
377, -24133, 6479.3049, 16.192797
378, -12766, 6479.0540, 16.192170
379, -25882, 6478.8030, 16.191542
380, -18924, 6478.5520, 16.190915
381, 3522, 6478.3011, 16.190288
382, 27409, 6478.0501, 16.189661
383, 45252, 6477.7991, 16.189034
384, 24821, 6477.5482, 16.188406
385, 3823, 6477.2972, 16.187779
386, 11441, 6477.0462, 16.187152
387, 28631, 6476.7953, 16.186525
388, -2139, 6476.5443, 16.185898
389, -2764, 6476.2933, 16.185270
390, -1643, 6476.0424, 16.184643
391, -5758, 6475.7914, 16.184016
392, 5131, 6475.5404, 16.183389
393, 926, 6475.2895, 16.182762
394, -9583, 6475.0385, 16.182134
395, 27459, 6474.7875, 16.181507
396, 39569, 6474.5366, 16.180880
397, -7309, 6474.2856, 16.180253
398, -17471, 6474.0346, 16.179626
399, -63, 6473.7837, 16.178998
400, -14521, 6473.5327, 16.178371
401, -28536, 6473.2817, 16.177744
402, -32307, 6473.0308, 16.177117
403, -51917, 6472.7798, 16.176490
404, -19182, 6472.5288, 16.175862
405, 20961, 6472.2779, 16.175235
406, 15538, 6472.0269, 16.174608
407, 31424, 6471.7759, 16.173981
408, 14965, 6471.5250, 16.173354
409, -10297, 6471.2740, 16.172726
410, -11881, 6471.0230, 16.172099
411, -22566, 6470.7721, 16.171472
412, -16397, 6470.5211, 16.170845
413, 1225, 6470.2701, 16.170217
414, -34795, 6470.0192, 16.169590
415, -28807, 6469.7682, 16.168963
416, 6546, 6469.5172, 16.168336
417, -20780, 6469.2663, 16.167709
418, -37788, 6469.0153, 16.167081
419, -10085, 6468.7643, 16.166454
420, 1783, 6468.5134, 16.165827
421, -7043, 6468.2624, 16.165200
422, -3214, 6468.0114, 16.164573
423, 15540, 6467.7604, 16.163945
424, -29961, 6467.5095, 16.163318
425, -29030, 6467.2585, 16.162691
426, -2412, 6467.0075, 16.162064
427, 5857, 6466.7566, 16.161437
428, 31644, 6466.5056, 16.160809
429, 16477, 6466.2546, 16.160182
430, 45192, 6466.0037, 16.159555
431, 20914, 6465.7527, 16.158928
432, 14107, 6465.5017, 16.158301
433, 16800, 6465.2508, 16.157673
434, 2585, 6464.9998, 16.157046
435, 13657, 6464.7488, 16.156419
436, 11485, 6464.4979, 16.155792
437, 11281, 6464.2469, 16.155165
438, -20916, 6463.9959, 16.154537
439, -12812, 6463.7450, 16.153910
440, -27427, 6463.4940, 16.153283
441, -23950, 6463.2430, 16.152656
